domain,condition,model_seed,arm,evaluation_version,horizon,first_failures,failure_probability,survival_probability,failure_upper_bound,survival_lower_bound,family_size
toy,s4_rotated,,STOCHASTIC_4,v2-stochastic-seedkey,1024,512,1.0,0.0,1.0,0.0,875
toy,s4_rotated,,STOCHASTIC_4,v2-stochastic-seedkey,2048,512,1.0,0.0,1.0,0.0,875
toy,s4_rotated,,FULL_RESIDUAL_4_4,v1-unchanged-finite-nonstochastic,32,0,0.0,1.0,0.018901037818839048,0.981098962181161,875
toy,s4_rotated,,FULL_RESIDUAL_4_4,v1-unchanged-finite-nonstochastic,64,0,0.0,1.0,0.018901037818839048,0.981098962181161,875
toy,s4_rotated,,FULL_RESIDUAL_4_4,v1-unchanged-finite-nonstochastic,128,0,0.0,1.0,0.018901037818839048,0.981098962181161,875
toy,s4_rotated,,FULL_RESIDUAL_4_4,v1-unchanged-finite-nonstochastic,256,0,0.0,1.0,0.018901037818839048,0.981098962181161,875
toy,s4_rotated,,FULL_RESIDUAL_4_4,v1-unchanged-finite-nonstochastic,512,0,0.0,1.0,0.018901037818839048,0.981098962181161,875
toy,s4_rotated,,FULL_RESIDUAL_4_4,v1-unchanged-finite-nonstochastic,1024,0,0.0,1.0,0.018901037818839048,0.981098962181161,875
toy,s4_rotated,,FULL_RESIDUAL_4_4,v1-unchanged-finite-nonstochastic,2048,0,0.0,1.0,0.018901037818839048,0.981098962181161,875
toy,s4_rotated,,FULL_RESIDUAL_4_FP32,v1-unchanged-finite-nonstochastic,32,0,0.0,1.0,0.018901037818839048,0.981098962181161,875
toy,s4_rotated,,FULL_RESIDUAL_4_FP32,v1-unchanged-finite-nonstochastic,64,0,0.0,1.0,0.018901037818839048,0.981098962181161,875
toy,s4_rotated,,FULL_RESIDUAL_4_FP32,v1-unchanged-finite-nonstochastic,128,0,0.0,1.0,0.018901037818839048,0.981098962181161,875
toy,s4_rotated,,FULL_RESIDUAL_4_FP32,v1-unchanged-finite-nonstochastic,256,0,0.0,1.0,0.018901037818839048,0.981098962181161,875
toy,s4_rotated,,FULL_RESIDUAL_4_FP32,v1-unchanged-finite-nonstochastic,512,0,0.0,1.0,0.018901037818839048,0.981098962181161,875
toy,s4_rotated,,FULL_RESIDUAL_4_FP32,v1-unchanged-finite-nonstochastic,1024,0,0.0,1.0,0.018901037818839048,0.981098962181161,875
toy,s4_rotated,,FULL_RESIDUAL_4_FP32,v1-unchanged-finite-nonstochastic,2048,0,0.0,1.0,0.018901037818839048,0.981098962181161,875
toy,s4_rotated,,LOWRANK_4_8,v1-unchanged-finite-nonstochastic,32,36,0.0703125,0.9296875,0.12373958430464528,0.8762604156953547,875
toy,s4_rotated,,LOWRANK_4_8,v1-unchanged-finite-nonstochastic,64,133,0.259765625,0.740234375,0.33984912484930446,0.6601508751506955,875
toy,s4_rotated,,LOWRANK_4_8,v1-unchanged-finite-nonstochastic,128,295,0.576171875,0.423828125,0.6592078636265127,0.34079213637348726,875
toy,s4_rotated,,LOWRANK_4_8,v1-unchanged-finite-nonstochastic,256,437,0.853515625,0.146484375,0.9073501694082717,0.09264983059172827,875
toy,s4_rotated,,LOWRANK_4_8,v1-unchanged-finite-nonstochastic,512,502,0.98046875,0.01953125,0.9959667528019229,0.004033247198077072,875
toy,s4_rotated,,LOWRANK_4_8,v1-unchanged-finite-nonstochastic,1024,512,1.0,0.0,1.0,0.0,875
toy,s4_rotated,,LOWRANK_4_8,v1-unchanged-finite-nonstochastic,2048,512,1.0,0.0,1.0,0.0,875
