model_seed,arm,period,metric,N_sequences,eligible_sample_writes,contributing_sequences,valid_sample_writes,mean_of_sequence_means,mean,median,minimum,maximum
1,LOWRANK_4_8_R2,before_first_failure,residual_norm,32,7506,32,7506,97.70077337503979,106.41058904243738,89.99701066287099,29.876082945706422,499.8103564047911
1,LOWRANK_4_8_R2,before_first_failure,native_state_norm,32,7506,32,7506,1058.2437774326816,1095.8424121091743,1112.689056939791,353.20778758875156,1668.3647368740776
1,LOWRANK_4_8_R2,before_first_failure,fp64_shadow_state_norm,32,7506,32,7506,1058.2437232081552,1095.8423500523807,1112.6889783635206,353.2077914909576,1668.3644792852033
1,LOWRANK_4_8_R2,before_first_failure,state_scale_minimum,32,7506,32,7506,49.451008072038874,52.520271769810584,51.54023551940918,2.51689129981969e-07,97.74449920654297
1,LOWRANK_4_8_R2,before_first_failure,state_scale_maximum,32,7506,32,7506,261.5173847323976,289.1271234365454,232.44110107421875,97.68587493896484,1365.8367919921875
1,LOWRANK_4_8_R2,before_first_failure,residual_scale_minimum,32,7506,32,7506,0.6745244293942663,0.695926310874099,0.020443721674382687,4.117787444357646e-09,6.3427863121032715
1,LOWRANK_4_8_R2,before_first_failure,residual_scale_maximum,32,7506,32,7506,24.12324650949813,26.837004110840457,20.837162017822266,6.520341396331787,189.68756103515625
1,LOWRANK_4_8_R2,before_first_failure,self_writeback_mse,32,7506,32,7506,15.750802823871894,19.369268405194568,9.630342505137246,0.5011276469087484,263.788111026846
1,LOWRANK_4_8_R2,before_first_failure,projection_leakage_mse,32,7506,32,7506,15.750698777053685,19.369143226934224,9.630274212281915,0.5011209213797085,263.7867539032451
1,LOWRANK_4_8_R2,before_first_failure,native_state_error_l2,32,7506,32,7506,1521.2854013968893,1746.8078969670034,1364.7922350941244,73.79788960048404,8649.583231704917
1,LOWRANK_4_8_R2,before_first_failure,native_state_error_mse,32,7506,32,7506,1268.7065881078352,1630.4724102008206,606.3339421709283,1.7728282908480566,24353.935573629842
1,LOWRANK_4_8_R2,before_first_failure,fp64_shadow_error_l2,32,7506,32,7506,1521.2854051907113,1746.8079019405134,1364.7922444781213,73.79788976357392,8649.583252728617
1,LOWRANK_4_8_R2,before_first_failure,fp64_shadow_error_mse,32,7506,32,7506,1268.7065952974351,1630.4724199232285,606.333950508093,1.772828298683792,24353.935692019328
1,LOWRANK_4_8_R2,before_first_failure,gold_margin,32,7506,32,7506,44.53237144413228,44.74905732657205,41.8925576210022,0.29513025283813477,88.39487075805664
1,LOWRANK_4_8_R2,before_first_failure,top_two_margin,32,7506,32,7506,44.53237144413228,44.74905732657205,41.8925576210022,0.29513025283813477,88.39487075805664
1,LOWRANK_4_8_R2,at_or_after_first_failure,state_norm,32,58030,32,58030,60004205.32203231,60040706.33402364,1239945.2089456976,1258.3247168637502,1515136279.8510985
1,LOWRANK_4_8_R2,at_or_after_first_failure,residual_norm,32,58030,32,58030,2782855.339613618,2784652.2192518823,56123.9723355482,64.95765836092949,84910353.11452433
1,LOWRANK_4_8_R2,at_or_after_first_failure,native_state_norm,32,58030,32,58030,1762.7540119770413,1762.7019483052727,1779.2576179406515,986.3250114730398,2282.2306564122964
1,LOWRANK_4_8_R2,at_or_after_first_failure,fp64_shadow_state_norm,32,58030,32,58030,1762.7533085706634,1762.7012459042794,1779.2568798663788,986.3249727103058,2282.2291398200223
1,LOWRANK_4_8_R2,at_or_after_first_failure,state_scale_minimum,32,58030,32,58030,96.3221128861366,96.26426117815026,97.68923950195312,27.2701416015625,97.74313354492188
1,LOWRANK_4_8_R2,at_or_after_first_failure,state_scale_maximum,32,58030,32,58030,11493480.077458126,11503133.908387734,232870.859375,149.59173583984375,335454656.0
1,LOWRANK_4_8_R2,at_or_after_first_failure,residual_scale_minimum,32,58030,32,58030,1.8191315173954408,1.819965510853091,0.3211108446121216,4.263168040807841e-09,6.256938934326172
1,LOWRANK_4_8_R2,at_or_after_first_failure,residual_scale_maximum,32,58030,32,58030,1103557.0901227298,1104353.7778444882,22008.0234375,12.544805526733398,37849684.0
1,LOWRANK_4_8_R2,at_or_after_first_failure,self_writeback_mse,32,58030,32,58030,101398437849.50981,101924499117.40231,5559100.173918993,4.3364129024142235,14216960934458.547
1,LOWRANK_4_8_R2,at_or_after_first_failure,projection_leakage_mse,32,58030,32,58030,101397942152.04672,101924001244.80025,5559066.352140488,4.336376304940368,14216919917225.334
1,LOWRANK_4_8_R2,at_or_after_first_failure,native_state_error_l2,32,58030,32,58030,60004158.87120381,60040659.04475936,1239906.5272446391,789.5756626387899,1515136307.7046344
1,LOWRANK_4_8_R2,at_or_after_first_failure,native_state_error_mse,32,58030,32,58030,8763094028421.422,8800419783970.09,500445377.3456346,202.9393642680613,747278004858343.8
1,LOWRANK_4_8_R2,at_or_after_first_failure,fp64_shadow_error_l2,32,58030,32,58030,60004158.87120577,60040659.0447614,1239906.5272910413,789.575651058788,1515136307.7045746
1,LOWRANK_4_8_R2,at_or_after_first_failure,fp64_shadow_error_mse,32,58030,32,58030,8763094028420.498,8800419783969.191,500445377.38309103,202.93935831540003,747278004858285.0
1,LOWRANK_4_8_R2,at_or_after_first_failure,gold_margin,32,58030,32,58030,-15.478202547167292,-15.579496002318084,-24.34933614730835,-126.57906723022461,90.18500137329102
1,LOWRANK_4_8_R2,at_or_after_first_failure,top_two_margin,32,58030,32,58030,34.191366837755325,34.21806107944393,34.25224018096924,0.0064868927001953125,90.18500137329102
2,LOWRANK_4_8_R2,before_first_failure,state_norm,32,7306,32,7306,1292.7181777101644,1322.139802312986,1235.2647541278247,349.52890077223003,3557.7333039644955
2,LOWRANK_4_8_R2,before_first_failure,residual_norm,32,7306,32,7306,71.5845034654707,72.73128409494888,68.23941317107284,28.352112073664266,182.8785755446207
2,LOWRANK_4_8_R2,before_first_failure,native_state_norm,32,7306,32,7306,796.1459019120144,800.451670603567,819.7555391193293,344.26832342187134,1140.0124048242621
