phase,model_seed,arm,n_sequences,source_family_size,joint_family_size,source_failure_upper_bound,source_json_sha256,horizon,first_failures,failure_probability,survival_probability,failure_upper_bound,survival_lower_bound
POST_HOC_BUDGET_AUDIT_SAME_TEST,0,LOWRANK_4_8_R4,512,546,630,1.0,9f49b4accf2f270b4692c10fb21550560d04cedf6bb098b9ab7ac546d4b42bee,1024,512,1.0,0.0,1.0,0.0
POST_HOC_BUDGET_AUDIT_SAME_TEST,0,LOWRANK_4_8_R4,512,546,630,1.0,9f49b4accf2f270b4692c10fb21550560d04cedf6bb098b9ab7ac546d4b42bee,2048,512,1.0,0.0,1.0,0.0
POST_HOC_BUDGET_AUDIT_SAME_TEST,0,MIXED_4_8,512,546,630,0.017996927961500465,e637ec3a3976426612aad748fe02dfd1dc19781c0552116414218c6b34ce8267,32,0,0.0,1.0,0.018271353414420138,0.9817286465855799
POST_HOC_BUDGET_AUDIT_SAME_TEST,0,MIXED_4_8,512,546,630,0.017996927961500465,e637ec3a3976426612aad748fe02dfd1dc19781c0552116414218c6b34ce8267,64,0,0.0,1.0,0.018271353414420138,0.9817286465855799
POST_HOC_BUDGET_AUDIT_SAME_TEST,0,MIXED_4_8,512,546,630,0.07871423150530982,e637ec3a3976426612aad748fe02dfd1dc19781c0552116414218c6b34ce8267,128,19,0.037109375,0.962890625,0.07918435614280188,0.9208156438571982
POST_HOC_BUDGET_AUDIT_SAME_TEST,0,MIXED_4_8,512,546,630,0.761010218292529,e637ec3a3976426612aad748fe02dfd1dc19781c0552116414218c6b34ce8267,256,352,0.6875,0.3125,0.7616640087695905,0.2383359912304095
POST_HOC_BUDGET_AUDIT_SAME_TEST,0,MIXED_4_8,512,546,630,0.9999734221772335,e637ec3a3976426612aad748fe02dfd1dc19781c0552116414218c6b34ce8267,512,510,0.99609375,0.00390625,0.999975265135946,2.4734864053965744e-05
POST_HOC_BUDGET_AUDIT_SAME_TEST,0,MIXED_4_8,512,546,630,1.0,e637ec3a3976426612aad748fe02dfd1dc19781c0552116414218c6b34ce8267,1024,512,1.0,0.0,1.0,0.0
POST_HOC_BUDGET_AUDIT_SAME_TEST,0,MIXED_4_8,512,546,630,1.0,e637ec3a3976426612aad748fe02dfd1dc19781c0552116414218c6b34ce8267,2048,512,1.0,0.0,1.0,0.0
POST_HOC_BUDGET_AUDIT_SAME_TEST,0,MIXED_4_8_TOP2,512,630,630,0.018271353414420138,9ee66a503c00ee889cc40bca663f34ce37dfa9f1c385b8ad2837d36bc40a491a,32,0,0.0,1.0,0.018271353414420138,0.9817286465855799
