split,task,arm,boundary,scenarios,median_absolute_rms,median_B_reference_rms,median_relative_error
standard,CODE,A_PUBLIC,block_18_output_last,64,0.059526150392219576,3.4145435021965644,0.01741945178647034
standard,CODE,A_PUBLIC,block_22_output_last,64,0.12810079261977986,6.994108603257437,0.018250096634504102
standard,CODE,A_PUBLIC,block_27_output_last,64,0.2983712243124286,9.777628779538592,0.03054232081702482
standard,CODE,A_PUBLIC,final_logits,64,0.11021834590656082,3.437727166838436,0.03201014746638009
standard,CODE,A_PUBLIC,final_norm_last,64,0.11065709732765355,4.926643813454993,0.022513955418577328
standard,CODE,A_PUBLIC,layer13_attention_before_o_proj_last,64,0.02043055845834936,0.5329970863271436,0.03825792026012851
standard,CODE,A_PUBLIC,layer13_post_attention_residual_last,64,0.020670722345828327,1.4490617338398355,0.014266054367200461
standard,CODE,V4,block_13_output_last,64,0.01954135628486653,1.3398716992528823,0.014579301247953654
standard,CODE,V4,block_14_output_last,64,0.02130475387634767,1.4648749222400221,0.014572238384357734
standard,CODE,V4,block_18_output_last,64,0.057564946603563316,3.4145435021965644,0.016853045297942862
standard,CODE,V4,block_22_output_last,64,0.12384622159967239,6.994108603257437,0.017756730284114116
standard,CODE,V4,block_27_output_last,64,0.2855332007068209,9.777628779538592,0.02925670010856095
standard,CODE,V4,final_logits,64,0.1119122881326625,3.437727166838436,0.03246890340226049
standard,CODE,V4,final_norm_last,64,0.10836531859895053,4.926643813454993,0.022135134038337133
standard,CODE,V4,layer13_attention_before_o_proj_last,64,0.01784777120865505,0.5329970863271436,0.0334557124402667
standard,CODE,V4,layer13_post_attention_residual_last,64,0.019073214388597312,1.4490617338398355,0.013194441112533381
boundary_pool,RETRIEVAL,A_PUBLIC,block_13_output_last,10,0.0178373257686381,1.3468923347526958,0.013242586478996121
boundary_pool,RETRIEVAL,A_PUBLIC,block_14_output_last,10,0.019598472780789834,1.4664842725249674,0.013350753648803518
boundary_pool,RETRIEVAL,A_PUBLIC,block_18_output_last,10,0.05812898501581001,3.3959626901233424,0.017091923066955686
boundary_pool,RETRIEVAL,A_PUBLIC,block_22_output_last,10,0.1377355210144633,7.137926320224927,0.019422639527706304
boundary_pool,RETRIEVAL,A_PUBLIC,block_27_output_last,10,0.30914673695088035,9.84526271718488,0.03202867569679757
boundary_pool,RETRIEVAL,A_PUBLIC,final_logits,10,0.10903081380259017,3.5409064028127366,0.03143113798065907
boundary_pool,RETRIEVAL,A_PUBLIC,final_norm_last,10,0.12082828181042418,4.948456941650754,0.024428534986713282
boundary_pool,RETRIEVAL,A_PUBLIC,layer13_attention_before_o_proj_last,10,0.020729189590624905,0.5160245219237491,0.03999852274902943
boundary_pool,RETRIEVAL,A_PUBLIC,layer13_post_attention_residual_last,10,0.017897233423014518,1.4652464771492584,0.01222369270421679
